"STATE","YEAR","AGI","marriage_rate","elder_rate","tax","charity","add_med","edu","retire","child","population","growth_rate"
"FL",2015,337205621.000516,0.330466653094124,0.260040219044216,8574236.60333604,7064580.18315817,197077.397048284,28980.1584107868,58921.845512959,141262.619019598,19254560,0.660157898181647
"FL",2016,330819245.871307,0.328306139113805,0.263394775669021,8686698.2640107,6969647.83548906,187137.850504969,29362.8833128284,65484.5252272477,145760.473898772,19336830,0.687910581296972
"FL",2017,397483728.260666,0.331559641948432,0.268525907762482,10807926.3126105,9472790.19320533,254932.937009974,27915.7124223386,67934.9834818339,151974.386002064,20362430,0.740343302426066
"FL",2018,412077855.829479,0.329324815109908,0.273241405604626,3340106.07717579,7008577.8625366,253233.338062186,27029.229729056,80310.3349832096,154784.064656053,20458100,0.794093360183544
"FL",2019,431498824.33702,0.319448231124315,0.27141077589854,3286294.86809396,7103416.54122425,276428.007031316,28247.6065391522,86187.5110941363,156095.173135465,21273400,0.855452511304893
"FL",2020,470811068.369718,0.311983322998495,0.278729923296655,3107589.32538894,7789408.08052449,335267.941175109,26251.9569066174,82615.5125578302,114638.994814033,22464470,0.940455869396217
"FL",2021,563015767.583218,0.314590040053478,0.282719798191734,2962872.50815925,9088928.77876474,406129.562066745,23741.7377249144,82133.9939306201,46429.1998494189,21676020,1.0356150684351
"GA",2013,131452762.357582,0.347394418544894,0.283394957530756,6491395.35061325,4052985.19293279,71578.3680553006,18616.0729571984,24244.5076352691,66586.4707632057,8717440,0.358896752830201
"GA",2014,140659560.365218,0.346193114852951,0.283082299182311,6688037.65775379,4477986.47041881,82011.2292022603,17996.1587199529,26335.0992435109,67219.9001260815,8756240,0.405621606946374
"GA",2015,147749271.898943,0.343802720682658,0.198786305874779,7214784.81219479,5057593.12199517,90956.6160139197,17970.0702229645,28191.30748531,69995.7929595837,8885270,0.45826352522187
"GA",2016,149658466.063485,0.342324537916495,0.203689903778403,7336719.42533892,5441590.15230069,94203.2169050129,18488.7121649578,31262.7324904314,71506.8716943907,8870150,0.499663040338885
"GA",2017,164787277.390076,0.341941257275697,0.209457525778643,8232149.62354376,6391132.43377905,110917.147746185,17819.2570170302,32433.7192241311,73956.1389405,9085040,0.544573777959959
"GA",2018,172130001.048108,0.339930845095634,0.214164094459313,2644300.64885113,5134368.56786152,114647.375275594,17460.7273423823,40178.182253079,77677.0555378497,9162040,0.601205858665569
"GA",2019,177931519.061504,0.326417686550992,0.21139956111837,2495612.65506029,4436925.36281372,123503.581659124,18298.1121178458,44009.4643161463,77835.6000791081,9505980,0.660829351306137
"GA",2020,189586747.915825,0.314195796402355,0.216590511676715,2321898.78022291,4088563.5898282,135998.42598238,17447.0709015613,41588.4408412324,61090.1744233639,10139410,0.751977108619443
"GA",2021,220800073.893129,0.315942243358412,0.220042186825634,2232764.93138055,4689190.50480731,170153.138382717,16094.7188588484,42917.0025257386,14511.72172196,9870380,0.896207467661796
"HI",2013,21134760.5993677,0.369563285796792,0.263321330800928,945921.981370415,333358.781294889,5567.16260162602,2398.91844743584,5178.02436062612,8123.85123728286,1350540,0.846020941987641
"HI",2014,22351771.8738487,0.369588173178458,0.263509665490453,972612.167326646,346777.897109293,6004.21695705737,2318.04446057726,5539.11576029567,8284.54795113223,1363680,0.8587944300508
"HI",2015,23559230.7361943,0.36728751406891,0.268307736993065,1077492.25228189,358802.411639981,7568.01943143448,2203.90007624442,5713.47075481974,8659.62479758922,1377150,0.840403706403541
"HI",2016,24111189.5638102,0.362708401736529,0.276042464703951,1128753.62203495,367818.623837146,7149.2768085805,2222.20851482981,5738.37332457772,8645.53591623801,1370550,0.83084960291799
"HI",2017,25547292.1922574,0.359991050743727,0.282406772566199,1211078.47319914,423418.047387755,8516.56873245332,2127.56294430531,5595.55328055197,8756.25162566127,1385590,0.823401234307565
"HI",2018,26412773.2515597,0.358717160887367,0.288350974649752,419293.778367021,267759.147697754,8432.51541666367,2032.77328689745,6232.56593007275,8485.01792434502,1389730,0.834979686952218
"HI",2019,27563620.5019412,0.349448412393058,0.288252618029954,405849.383327154,280102.256780295,9296.83284482095,2142.44807661366,6471.70084854251,8269.15815908948,1429510,0.850141077045617
"HI",2020,28005353.6337957,0.345031554101326,0.30036112308573,355040.895931535,287661.064055179,11464.7123947902,2051.15763623386,5868.22957817149,5245.68058627732,1415030,0.898268924356585
"HI",2021,31193820.4318288,0.347787221465285,0.306883799390125,348497.708348652,316243.81754219,13367.5319967992,2019.30952226475,5884.00468579914,2765.25924724439,1387170,0.980609323180236
"IA",2013,46097116.1089239,0.425951032499782,0.263470478461806,2241058.28313322,819615.564729459,13323.1307240568,5211.47749411867,10424.7060660451,23427.2349882373,2869250,0.164856217830941
